Date,Open,High,Low,Close,Adj Close,Volume
01-11-2021,208000,209500,207000,208000,182807.0938,395091
02-11-2021,208000,211500,207500,210000,184564.8281,417645
03-11-2021,211000,212000,207000,208500,183246.5156,476081
04-11-2021,211000,216000,210000,214000,188080.3594,1122870
05-11-2021,216500,217000,214000,215000,188959.2656,686779
08-11-2021,214500,216500,212500,215000,188959.2656,532328
09-11-2021,216000,217000,212000,213000,187201.4688,620316
10-11-2021,211000,211500,206500,208500,183246.5156,680033
11-11-2021,205500,206500,203500,205000,180170.4375,710080
12-11-2021,205000,209500,205000,208000,182807.0938,415172
15-11-2021,208000,210000,207000,209000,183685.9688,377424
16-11-2021,208000,208000,205000,206500,181488.7656,515194
17-11-2021,206500,209000,203000,207000,181928.1719,715192
18-11-2021,205500,206500,204000,205000,180170.4375,562783
19-11-2021,211500,212500,208000,209500,184125.4063,829314
22-11-2021,209500,220000,207500,218500,192035.3281,1620439
23-11-2021,219000,219500,213500,215000,188959.2656,818782
24-11-2021,215500,216000,211000,212000,186322.6094,652274
25-11-2021,212500,212500,210000,210000,184564.8281,414037
26-11-2021,209500,210000,204000,205500,180609.8906,901184
29-11-2021,199500,203500,199500,200500,176215.5,901640
30-11-2021,202000,203500,194500,195500,171821.0781,1313581
01-12-2021,198500,202000,196500,201000,176654.9063,741594
02-12-2021,198500,206000,198000,205500,180609.8906,782923
03-12-2021,205500,208000,204500,206000,181049.3125,514358
06-12-2021,204500,208000,202500,206500,181488.7656,503652
07-12-2021,206000,208000,204000,207500,182367.625,501624
08-12-2021,210000,211000,207000,207500,182367.625,502904
09-12-2021,207000,210000,206500,207000,181928.1719,775215
10-12-2021,207000,209500,205500,207500,182367.625,443350
13-12-2021,210000,214000,209000,209000,183685.9688,877690
14-12-2021,208000,212000,207500,211000,185443.7188,499536
15-12-2021,210500,211500,208500,209000,183685.9688,436219
16-12-2021,211500,212000,208000,209500,184125.4063,457620
17-12-2021,208500,211500,208000,209500,184125.4063,623863
20-12-2021,209000,209500,204500,205000,180170.4375,542620
21-12-2021,206000,207500,204000,205000,180170.4375,548609
22-12-2021,207000,209500,205500,206500,181488.7656,480545
23-12-2021,208000,209000,207000,209000,183685.9688,372738
24-12-2021,210500,216500,210500,215500,189398.6719,1024355
27-12-2021,216500,217000,213500,213500,187640.9063,530039
28-12-2021,215000,215000,211500,214000,188080.3594,880326
29-12-2021,213000,215000,211500,212000,189871.6094,659392
30-12-2021,211500,212000,208500,209000,187184.75,581448
04-01-2022,212500,212500,208500,210000,188080.3594,499857
05-01-2022,214000,217500,212000,213500,191215.0313,1175411
06-01-2022,210000,216500,210000,214000,191662.8438,866582
07-01-2022,214500,216500,213500,215000,192558.4844,577852
10-01-2022,214000,215000,209000,209500,187632.5625,744261
11-01-2022,209500,211500,209000,210500,188528.1875,482235
12-01-2022,211500,213000,210500,211500,189423.7969,470451
13-01-2022,211500,213000,210000,210000,188080.3594,499094
14-01-2022,209500,211000,208000,209000,187184.75,406569
17-01-2022,208500,209000,202500,205000,183602.25,724213
18-01-2022,206000,206000,201500,202500,181363.2188,580959
19-01-2022,200500,203500,200000,200500,179572,525014
